YAHUKIMO~SOLOIKMA~1~SUH01~SOLOIKMA~BANGA
YAHUKIMO~SOLOIKMA~2~SUH01~SOLOIKMA~ERIM
YAHUKIMO~SOLOIKMA~3~SUH01~SOLOIKMA~KWELENA
YAHUKIMO~SOLOIKMA~4~SUH01~SOLOIKMA~MUSAN
YAHUKIMO~SOLOIKMA~5~SUH01~SOLOIKMA~SALBI
YAHUKIMO~SOLOIKMA~6~SUH01~SOLOIKMA~SINGOKLA
YAHUKIMO~SOLOIKMA~7~SUH01~SOLOIKMA~SOLINE
YAHUKIMO~SOLOIKMA~8~SUH01~SOLOIKMA~WEAWEN WEANEM
